OBJECTID,Latin_Name,Common_Name,Family_Name,Former_Latin_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Appropriate_Location,Suggested_for_Green_Connection_Routes,Street_Tree_List,Additional_Characteristices___Notes,PhotoCredit01,Nurseries,PhotoCredit02,PhotoCredit03,PhotoCredit04
213,Polygonum paronychia,Beach/Dune Knotweed,Polygonaceae,,Perennial,Spring;Summer,White,< 1 ft,SF Native ,Dunes,Sun,Sand,,None,Cover,Butterflies,No,Backyard;Sidewalk,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,Ken-ichi Ueda (CC BY-NC 2.0),Tom Hilton (CC BY 2.0),D In Orbit (CC BY-NC-ND 2.0)
214,Polypodium californicum,Polypody Fern,Polypodiaceae,,Perennial,,,1-3 ft,SF Native ,Coastal scrub;Woodland,Part shade;Shade,All,,Low,No data,No data,No,Backyard;Sidewalk,NA,NA,,James Gaither (CC BY-NC-ND 2.0),,M. Dolly (CC BY-SA 2.0),Ken-ichi Ueda (CC BY-NC 2.0),dogtooth77 (CC BY-NC-SA 2.0)
215,Polystichum munitum,Western Sword Fern,Dryopteridaceae,,Perennial,,,1-3 ft,SF Native ,Woodland;Coastal scrub,Part shade;Shade,Clay;Loam,,Moderate,No data,No data,Yes,Backyard;Roof,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
216,Populus nigra 'Italica',Lombardy Poplar,Salicaceae,,Tree (deciduous),Winter,White,> 24 ft,Exotic,NA***,Sun,Clay;Loam;Sand,,Moderate,Buds/greens,Butterflies;Insects,No,Backyard,NA,NA,Attracts Lorquin's Admiral (Limenitis lorquini) butterfly.,Romana Klee (CC BY-SA 2.0),,Xevi V (CC BY-NC-SA 2.0),Matt Lavin (CC BY-SA 2.0),Leonora Enking (CC BY-SA 2.0)
217,Potentilla anserina ssp. pacifica,Silverweed,Rosaceae,,Perennial,Spring,Yellow,< 1 ft,SF Native ,Riparian;Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Cover;Nectar,Bees;Butterflies,No,Backyard,NA,NA,,©2002 Dean Wm. Taylor (CC BY-NC-SA 3.0),,©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0)
218,Prunella vulgaris var. lanceolata,Self Heal,Lamiaceae,,Perennial,Summer,Purple,< 1 ft,SF Native ,Riparian;Wetland,Part Shade,Clay;Loam,,Moderate,Cover;Nectar,Bees;Butterflies,Yes,Backyard;Roof,NA,NA,,©2009 Keir Morse (CC BY-NC-SA 3.0),,©2008 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
219,Prunus cerasifera 'Krauter Vesuvius',Krauter Vesuvius Plum,Rosaceae,,Tree (deciduous),Spring,Purple,13-24 ft,Exotic,,Sun,,,Low,,Birds;Butterflies,No,Sidewalk,NA,2 (B),"Wind protection, susceptible to shot hole fungus.","SelecTree. ""Prunus cerasifera 'Krauter Vesuvius' Photo Record."" 1995-2012. Jul 8, 2014.",,Mark Pritchard (CC BY-NC-SA 2.0),Mark Pritchard (CC BY-NC-SA 2.0),Mark Pritchard (CC BY-NC-SA 2.0)
220,Prunus emarginata,Bitter cherry,Rosaceae,,Tree (deciduous),Spring,White,13-24 ft,SF Native ,Woodland;Coastal scrub;Chaparral,Part shade;Sun,Loam;Clay,,Low,Fruit;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard,NA,NA,"Too cool of a climate to set fruit, but spreads vegetatively.  Get from SF sources. Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta).","© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College",©2009 Barry Breckling (CC BY-NC-SA 3.0),©2013 Jean Pawek
221,Prunus ilicifolia,Holly Leaf Cherry/Islay Cherry,Rosaceae,,Tree (evergreen),Spring;Winter,White,13-24 ft,SF Native ,Chaparral;Woodland,Part shade;Sun,All,Structural pruning,None,Cover;Buds/greens;Fruit;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard,18;4;6,NA,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Cedar Waxwing, Western Tiger Swallowtail (Papilio rutulus), Anise Swallowtail (Papilio zelicaon).","© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
222,Prunus serrulata 'Kwanzan',Kwansan Japanese Flowering Cherry,Rosaceae,,Tree (deciduous),Winter,Pink;White,13-24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,1 (A),Prefers wind protection .,"SelecTree. ""Prunus serrulata Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Prunus serrulata Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Prunus serrulata Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Prunus serrulata Photo Record."" 1995-2012. Jul 8, 2014."
223,Prunus subcordata,Sierra Plum,Rosaceae,,Tree (deciduous),Winter,White,13-24 ft,CA Native,Woodland,Part shade;Sun,Clay;Loam;Sand,,Low,Fruit,Bees;Birds;Butterflies,No,Backyard,NA,NA,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta).","© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College",©2009 Barry Breckling (CC BY-NC-SA 3.0) 
224,Prunus virginiana var. demissa,Western Chokecherry,Rosaceae,Prunus demissa virginiana,Tree (deciduous),Spring,White,13-24 ft,SF Native,Riparian;Wetland;Coastal scrub;Woodland,Part shade;Sun,Clay;Loam,,Low,Fruit,Bees;Birds;Butterflies,Yes,Backyard,8,NA,"Attracts Lorquin's Admiral (Limenitis lorquini), Pale Swallowtail (Papilio eurymedon), Western Tiger Swallowtail (Papilio rutulus), Red Admiral (Vanessa atalanta).","© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College",©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
225,Pseudotsuga menziesii,Douglas Fir,Pinaceae,,Tree (evergreen),Spring,Red,> 24 ft,CA Native,Woodland,Part shade;Sun,All,,Low,Nesting,Birds;Butterflies,No,Backyard,2,NA,Grow very large.,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College",©2008 Keir Morse (CC BY-NC-SA 3.0),©2004 Robert Sivinski  (CC BY-NC 3.0)
226,Pteridium aquilinum var. pubescens,Bracken Fern,Dennstaedtiaceae,,Perennial,,,1-3 ft,SF Native ,Woodland;Coastal scrub;Dunes,Part shade;Sun,Clay;Loam;Sand,,Low,No data,No data,No,Backyard;Roof,NA,NA,Grows everywhere – cosmopolitan fern.,"© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College",©2010 Keir Morse  (CC BY-NC-SA 3.0),©2011 Zoya Akulova (CC BY-NC 3.0)
227,Pyrus calleryana 'New Bradford',New Bradford Pear,Rosaceae,,Tree (deciduous),Spring,White,> 24 ft,Exotic,,Sun,Clay;Sand,,Low,,Birds,No,Sidewalk,NA,2 (B),"Needs wind protection, susceptible to fireblight.","SelecTree. ""Pyrus calleryana 'Bradford' Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Pyrus calleryana 'Bradford' Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pyrus calleryana 'Bradford' Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pyrus calleryana 'Bradford' Photo Record."" 1995-2012. Jul 8, 2014."
228,Pyrus kawakamii,Evergreen Pear,Rosaceae,,Tree (evergreen),Spring,White,13-24 ft,Exotic,,Sun,,,MA,,,No,Sidewalk,NA,2 (B),"Plant in only warmest areas of city, semi-evergreen, leaf spot/fungus likely to occur and may cause premature leaf drop, does not flower well in our climate, susceptible to fireblight.","SelecTree. ""Pyrus kawakamii Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Pyrus kawakamii Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pyrus kawakamii Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Pyrus kawakamii Photo Record."" 1995-2012. Jul 8, 2014."
229,Quercus agrifolia,Coast Live Oak,Fagaceae,,Tree (evergreen),Spring;Winter,Yellow,> 24 ft,SF Native ,Woodland,Part shade;Sun,All,,None,Nesting;Cover,Birds;Butterflies;Insects,Yes,Sidewalk,11;8,2 (B),"Recommended especially for large spaces. Attracts California Sister (Adelpha bredowii californica), Propertius Dusky-Wing (Erynnis propertius), Mournful Dusky-Wing (Erynnis tristis), Chestnut-Backed Chickadee, Scrub Jays","SelecTree. ""Quercus agrifolia Photo Record."" 1995-2012. Jul 8, 2014.",Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,"SelecTree. ""Quercus agrifolia Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Quercus agrifolia Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Quercus agrifolia Photo Record."" 1995-2012. Jul 8, 2014."
230,Quercus chrysolepis,Canyon Live Oak,Fagaceae,,Tree (evergreen),Spring,Yellow,> 24 ft,SF Native,Woodland,Part shade;Sun,Clay;Loam,,None,Nesting;Cover,Birds;Butterflies;Insects,Yes,Backyard,NA,NA,"Attracts California Sister (Adelpha bredowii californica), Propertius Dusky-Wing (Erynnis propertius), Mournful Dusky-Wing (Erynnis tristis).",Miguel Vieira (CC BY 2.0),,Joe Decruyenaere (CC BY-SA 2.0),"© Br. Alfred Brousseau, Saint Mary's College",©2008 Keir Morse (CC BY-NC-SA 3.0)
231,Quercus suber,Cork Oak,Fagaceae,,Tree (evergreen),,,> 24 ft,Exotic,,Sun,,,Low,,,No,Sidewalk,NA,2 (B),"Needs a large basin, wide sidewalk.","SelecTree. ""Quercus suber Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Quercus suber Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Quercus suber Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Quercus suber Photo Record."" 1995-2012. Jul 8, 2014."
232,Ranunculus californicus,California Buttercup,Ranunculaceae,,Perennial,Spring;Winter,Yellow,1-3 ft,SF Native,Coastal scrub;Riparian;Woodland,Part shade;Sun,Clay;Loam,,None,Nectar,Bees;Butterflies,No,Backyard;Roof,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,©2011 Vernon Smith (CC BY-NC-ND 3.0),"© Br. Alfred Brousseau, Saint Mary's College",©2009 Keir Morse  (CC BY-NC-SA 3.0)
233,Rhamnus crocea,Redberry,Rhamnaceae,,Shrub (evergreen),Winter,Yellow,1-3 ft,SF Native,Chaparral;Coastal scrub;Woodland,Sun;Part shade,Clay;Rock,,Low,Fruit;Nectar,Bees;Hummingbirds,Yes,Backyard,NA,NA,,©2009 Vernon Smith (CC BY-NC-ND 3.0),,©2012 Jean Pawek,©2012 Jean Pawek,©2012 Jean Pawek
234,Rhus lancea,African Sumac,Anacardiaceae,,Tree (evergreen),,White,13-24 ft,Exotic,,Part shade;Sun,,,Low,Fruit,Birds,No,Sidewalk,NA,2 (B),"Fast grower, dense, irregular form, high maintenance.","SelecTree. ""Rhus lancea Photo Record."" 1995-2012. Jul 8, 2014.",,"SelecTree. ""Rhus lancea Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Rhus lancea Photo Record."" 1995-2012. Jul 8, 2014.","SelecTree. ""Rhus lancea Photo Record."" 1995-2012. Jul 8, 2014."
235,Ribes sanguineum var. glutinosum,Red Flowering Currant,Grossulariaceae,,Shrub (deciduous),Spring;Winter,Pink,4-6 ft,SF Native ,Woodland;Coastal scrub;Dunes,Part shade;Sun,All,,None,Fruit;Nectar,Bees;Birds;Hummingbirds,Yes,Backyard;Sidewalk,3,NA,,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Flora Grubb;Bay Natives;East Bay Wilds;,©2014 Vernon Smith (CC BY-NC-ND 3.0),©2014 Judith Elaine Bush (CC BY-NC-SA 3.0),©2014 Judith Elaine Bush (CC BY-NC-SA 3.0)
236,Rosa californica,California Wild Rose,Rosaceae,,Shrub (deciduous),Spring;Summer,Pink,7-12 ft,SF Native ,Coastal scrub; Chaparral;Grassland/prairie;Riparian;Wetland;Woodland,Sun;Part shade,Clay;Loam;Sand,,Low,Fruit;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard;Roof,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Native Here;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds,"© Br. Alfred Brousseau, Saint Mary's College",©2009 Keir Morse (CC BY-NC-SA 3.0),©2011 Robert A. Hamilton (CC BY-NC-SA 3.0)
237,Rosa gymnocarpa,Wood Rose/Dwarf Rose,Rosaceae,,Shrub (deciduous),Spring,Pink,1-3 ft,SF Native ,Coastal scrub; Chaparral;Grassland/prairie;Woodland;Riparian,Part shade;Sun,Clay;Loam,,Low,Fruit;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard,NA,NA,,©2008 Keir Morse (CC BY-NC-SA 3.0),,©2008 Keir Morse (CC BY-NC-SA 3.0),©2010 Keir Morse (CC BY-NC-SA 3.0),©2010 Jean Pawek
238,Rubus ursinus,California Blackberry,Rosaceae,,Shrub (deciduous),Spring;Winter,White,4-6 ft,SF Native ,Chaparral;Grassland/prairie;Riparian;Wetland;Woodland;Coastal scrub,Part shade;Sun,Clay;Loam;Sand,,None,Fruit;Nectar;Cover,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard;Roof,22;23,NA,With espalier can make attractive feature and good habitat. Attracts Nuttall's White-crowned Sparrow and Red Admiral (Vanessa atalanta).,"© Br. Alfred Brousseau, Saint Mary's College",,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
239,Rumex fueginus,Golden Dock,Polygonaceae,Rumex maritimus,Perennial,Spring;Summer,Yellow,1-3 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam,,Moderate,Fruit;Nectar,Butterflies,No,Backyard,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,©2008 Jorg Fleige (CC BY-NC 3.0),Joe F. Duft @ USDA-NRCS PLANTS Database / USDA NRCS. 1992.,Hella Delicious (CC BY-NC-SA 2.0)
240,Rumex occidentalis,Western Dock,Polygonaceae,,Perennial,Spring;Summer,Burgundy,4-6 ft,SF Native ,Wetland,Part shade;Sun,Clay;Loam;Sand,,Moderate,No data,No data,No,Backyard,NA,NA,,©2012 Vernon Smith (CC BY-NC-ND 3.0),,©2012 Vernon Smith (CC BY-NC-ND 3.0),Luke McGuff  (CC BY-ND 2.0),stonebird (CC BY-NC-SA 2.0)
241,Salix lasiandra,Yellow Willow,Salicaceae,Salix lucida,Tree (deciduous),Spring,Yellow,> 24 ft,SF Native ,Riparian;Wetland;Woodland,Sun,Clay;Loam;Sand,,Moderate,Cover;Buds/greens;Cover;Nectar,Bees;Insects,Yes,Backyard,18,NA,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,Matt Lavin (CC BY-SA 2.0),,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,J. E.(Jed) and Bonnie McClellan © California Academy of Sciences,Matt Lavin (CC BY-SA 2.0)
242,Salix lasiolepis,Arroyo Willow,Salicaceae,,Tree (deciduous),Spring;Winter,Yellow,> 24 ft,SF Native ,Coastal scrub;Riparian;Wetland;Woodland,Part shade;Sun,Clay;Loam;Sand,,Low,Buds/greens;Nectar,Bees;Birds;Butterflies;Insects,Yes,Backyard,10,NA,Atrracts Mourning Cloak (Nymphalis antiopa) and Western Tiger Swallowtail (Papilio rutulus).,©2008 Keir Morse (CC BY-NC-SA 3.0),,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
243,Salix lutea,Yellow Willow,Salicaceae,,Shrub (deciduous),Spring,Yellow,13-24 ft,CA Native,Wetland;Woodland,Part shade;Sun,Clay;Loam;Sand,,Moderate,Nectar,Bees;Butterflies,No,Backyard,NA,NA,"Attracts Dreamy Duskywing (Erynnis icelus), Viceroy (Limenitis archippus), Lorquin's Admiral (Limenitis lorquini), Weidemeyer's Admiral (Limenitis weidemeyerii), Mourning Cloak (Nymphalis antiopa), Western Tiger Swallowtail (Papilio rutulus).","© Br. Alfred Brousseau, Saint Mary's College",,"© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College","© Br. Alfred Brousseau, Saint Mary's College"
244,Salvia apiana,California White Sage,Lamiaceae,,Shrub (evergreen),Spring;Summer,White,4-6 ft,CA Native,Chaparral;Coastal scrub,Sun,Clay;Loam;Sand,,None,Nectar,Bees;Birds;Butterflies,No,Backyard;Sidewalk,NA,NA,, ©2013 Keir Morse (CC BY-NC-SA 3.0),Oaktown;Flora Grubb;Bay Natives;East Bay Wilds,©2011 Wynn Anderson (CC BY-NC-SA 3.0),©2011 Wynn Anderson (CC BY-NC-SA 3.0),©2011 Wynn Anderson (CC BY-NC-SA 3.0)
245,Salvia clevelandii,Cleveland Sage,Lamiaceae,,Shrub (evergreen),Spring;Summer,Blue;Purple,4-6 ft,CA Native,Chaparral,Sun,Clay;Sand,,None,Nectar;Cover,Bees;Butterflies;Hummingbirds,Yes,Backyard;Sidewalk,3,NA,Very fragrant.,©2013 Keir Morse (CC BY-NC-SA 3.0),Oaktown;Mission Blue;Flora Grubb;Bay Natives;East Bay Wilds;,©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0),©2013 Keir Morse (CC BY-NC-SA 3.0)
246,Salvia leucophylla,Coast Purple Sage,Lamiaceae,,Shrub (evergreen),Spring,Purple,4-6 ft,CA Native,Coastal scrub;Chaparral,Sun,All,,None,Nectar;Cover,Bees;Butterflies;Hummingbirds,Yes,Backyard;Sidewalk,NA,NA,,©2003 Brent Miller (CC BY-NC-SA 3.0),"Candlestick;Flora Grubb;Bay Natives;East Bay Wilds,",©2011 Jean Pawek ,©2005 Noah Elhardt (CC BY-NC-SA 3.0),©2003 Barry Breckling (CC BY-NC-SA 3.0)
247,Salvia sonomensis,Creeping Sage,Lamiaceae,,Perennial,Spring;Summer,"White, Purple",4-6 ft,CA Native,Chaparral;Woodland,Sun,Clay;Sand,,None,Cover;Nectar,Bees;Butterflies;Hummingbirds,No,Backyard;Roof;Sidewalk,NA,NA,Attracts Anna's Hummingbird.,©2009 Gary A. Monroe  (CC BY-NC 3.0),,©2009 Gary A. Monroe  (CC BY-NC 3.0),©2009 Gary A. Monroe  (CC BY-NC 3.0),©2009 Gary A. Monroe  (CC BY-NC 3.0)
248,Salvia spathacea,Hummingbird Sage,Lamiaceae,,Perennial,Spring;Summer;Winter,Pink,1-3 ft,SF Native ,Chaparral;Coastal scrub;Woodland,Part shade;Sun,All,,None,Buds/greens;Cover;Nectar,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard;Roof;Sidewalk,3,NA,Attracts Anna's Hummingbird.,"© Br. Alfred Brousseau, Saint Mary's College",Oaktown;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2009 Gary A. Monroe (CC BY-NC 3.0),©2009 Gary A. Monroe (CC BY-NC 3.0),©2009 Gary A. Monroe (CC BY-NC 3.0)
249,Sambucus nigra ssp. cerulea,Blue Elderberry,Adoxaceae,Sambucus mexicana,Shrub (deciduous),Spring;Summer,White,13-24 ft,SF Native ,Coastal scrub;Riparian;Wetland,Part shade;Sun,Clay;Loam;Sand,,Low,Cover;Fruit;Nectar;Nesting,Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,Backyard,NA,NA,"Plant on the east side. Off-white flowers in spring, blue fruits in early summer. Attracts quail, thrashers, grosbeaks, woodpeckers, orioles, house finshes, and orange-crowned warblers.",Thayne Tuason (CC BY-NC 2.0),Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,Phuong Tran (CC BY-NC-ND 2.0),Phuong Tran (CC BY-NC-ND 2.0),Phuong Tran (CC BY-NC-ND 2.0)
250,Sambucus racemosa var. racemosa,Red Elderberry,Adoxaceae,,Shrub (deciduous),Summer,White,13-24 ft,SF Native ,Coastal scrub;Riparian;Woodland,Part shade;Shade,Loam;Sand;Clay,,Low,Fruit;Nectar;Cover,Bees;Birds;Hummingbirds;Insects,No,Backyard,4;8,NA,Plant on the west side.,©2011 Jean Pawek,,©2010 Keir Morse (CC BY-NC-SA 3.0),©2010 Keir Morse (CC BY-NC-SA 3.0),©2010 Keir Morse (CC BY-NC-SA 3.0)
251,Schoenoplectus acutus var. occidentalis,Tule,Cyperaceae,Scirpus acutus,Perennial,Spring;Summer,Brown,4-6 ft,CA Native,Wetland,Sun,Loam;Sand,,Moderate,No data,No data,Yes,Backyard,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,©2003 Keir Morse  (CC BY-NC-SA 3.0),©2013 Jean Pawek,©2013 Jean Pawek
252,Schoenoplectus californicus,California Bulrush,Cyperaceae,Scirpus californicus,Perennial,Spring,Brown,4-6 ft,SF Native ,Wetland,Sun,Loam;Sand,,Moderate,No data,No data,Yes,Backyard,NA,NA,,©2013 Zoya Akulova (CC BY-NC 3.0),,©2009 Keir Morse (CC BY-NC-SA 3.0),©2013 Steven Thorsted (CC BY-NC 3.0),©2010 Steven Thorsted (CC BY-NC 3.0)
253,Schoenoplectus pungens var. badius,Common Threesquare,Cyperaceae,Scirpus americanus,Perennial,Spring;Summer,Burgundy,4-6 ft,SF Native ,Wetland,Sun,Clay;Loam;Sand,,Moderate,No data,No data,Yes,Backyard,NA,NA,,Max Licher (CC BY-SA),,Max Licher (CC BY-SA),Max Licher (CC BY-SA),Jon Sullivan (CC BY-NC 2.0)
254,Scrophularia californica,Bee Plant,Scrophulariaceae,,Perennial,Spring;Winter,Burgundy,1-3 ft,SF Native ,Coastal scrub;Riparian;Woodland,Part shade;Sun,Clay;Loam;Sand,,None,Nectar,Bees;Birds;Butterflies;Hummingbirds,Yes,Backyard;Roof,NA,NA,Attracts Variable Checkerspot (Euphydryas chalcedona) and Common Buckeye (Junonia coenia).,©2013 Vernon Smith (CC BY-NC-ND 3.0),Oaktown;Native Here;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;,©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0)
255,Sedum spathulifolium,Broadleaf Stonecrop,Crassulaceae,,Perennial,Spring;Summer,Yellow,< 1 ft,SF Native ,Coastal scrub;Woodland;Chaparral,Part shade;Sun,Clay;Loam,,Low,Buds/greens;Cover,Butterflies;Insects,yes,Backyard;Roof,14,NA,Needs water in winter / spring.,©2009 Barry Breckling (CC BY-NC-SA 3.0),,©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0),©2009 Barry Rice (CC BY-NC-SA 3.0)
256,Senecio hydrophilus,Marsh Ragwort,Asteraceae,,Perennial,Spring;Summer,Yellow,4-6 ft,CA Native,Wetland;Woodland,Part shade;Sun,Clay;Loam;Sand,,Moderate,No data,No data,Yes,Backyard,NA,NA,,"© Br. Alfred Brousseau, Saint Mary's College",,©1971 Dean Wm. Taylor (CC BY-NC-SA 3.0) ,Anthony Baniaga (public domain),©2010 Zoya Akulova (CC BY-NC 3.0)
257,Sequoia sempervirens,Redwood,Cupressaceae,,Tree (evergreen),Fall;Summer,Yellow,> 24 ft,CA Native,Woodland,Shade;Sun;Part shade,Clay;Loam,,Moderate,Nesting,Birds;Butterflies,No,Backyard,2,NA,,©2012 Daniel Passarini (CC BY-NC-SA 3.0),,©2013 Zoya Akulova (CC BY-NC 3.0),©2013 Zoya Akulova (CC BY-NC 3.0),©1975 Gary A. Monroe (CC BY-NC 3.0)
258,Sidalcea malviflora,Checkerbloom,Malvaceae,,Perennial,Spring;Summer,Pink,1-3 ft,SF Native ,Grassland/prairie,Part shade;Sun,All,,None,Buds/greens;Nectar,Bees;Butterflies,Yes,Backyard;Roof,16,NA,Attracts West Coast Painted Lady (Vanessa annabella).,©2010 Gary A. Monroe (CC BY-NC 3.0),,©2010 John J. Kehoe (CC BY 3.0),"2010 Gary A. Monroe (CC BY-NC 3.0)
 2010 Gary A. Monroe (CC BY-NC 3.0)
 ©2010 Gary A. Monroe (CC BY-NC 3.0)
 ©2010 Gary A. Monroe (CC BY-NC 3.0)
 ©2010 Gary A. Monroe (CC BY-NC 3.0)",©2011 Jean Pawek 
259,Sisyrinchium bellum,Blue-eyed Grass,Iridaceae,,Perennial,Spring,Indigo,1-3 ft,SF Native ,Coastal scrub;Woodland;Grassland/prairie,Part shade;Sun,Clay;Loam,,None,No data,No data,Yes,Backyard;Roof,NA,NA,,©2010 Barry Breckling (CC BY-NC-SA 3.0),Oaktown;Native Here;Mission Blue;Candlestick;Flora Grubb;Bay Natives;East Bay Wilds;,©2010 Steven Thorsted (CC BY-NC 3.0),©2010 Barry Breckling (CC BY-NC-SA 3.0),©2009 Keir Morse (CC BY-NC-SA 3.0)
260,Solidago californica,Goldenrod,Asteraceae,,Perennial,Fall;Summer,Yellow,1-3 ft,SF Native ,Coastal scrub;Grassland/prairie;Woodland,Part shade;Sun,Clay;Loam,,None,Buds/greens;Nectar,Bees;Butterflies;Insects,Yes,Backyard;Sidewalk,NA,NA,,©2008 Keir Morse (CC BY-NC-SA 3.0),Oaktown;Mission Blue;Bay Natives;East Bay Wilds;,©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0),©2008 Keir Morse (CC BY-NC-SA 3.0)
261,Solidago spathulata,Dune Goldenrod,Asteraceae,,Perennial,Fall;Spring;Summer,Yellow,1-3 ft,SF Native ,Coastal scrub;Dunes,Part shade;Sun,Clay;Loam;Sand,,None,Buds/greens;Nectar,Bees;Butterflies;Insects,Yes,Backyard;Sidewalk,1,NA,Attracts Monarch Butterfly (Danaus plexippus).,©2010 Zoya Akulova (CC BY-NC 3.0),Oaktown;Mission Blue;Candlestick;Bay Natives;East Bay Wilds;,©2012 Vernon Smith (CC BY-NC-ND 3.0),©2008 Jorg Fleige (CC BY-NC 3.0),©2008 Jorg Fleige (CC BY-NC 3.0)
